Title,Year,Rating,Genre
The Shawshank Redemption,1994,9.3,Drama            
The Godfather,1972,9.2,"Crime, Drama            "
The Dark Knight,2008,9.0,"Action, Crime, Drama            "
Schindler's List,1993,9.0,"Biography, Drama, History            "
The Lord of the Rings: The Return of the King,2003,9.0,"Action, Adventure, Drama            "
12 Angry Men,1957,9.0,"Crime, Drama            "
The Godfather Part II,1974,9.0,"Crime, Drama            "
Pulp Fiction,1994,8.9,"Crime, Drama            "
Fight Club,1999,8.8,Drama            
Inception,2010,8.8,"Action, Adventure, Sci-Fi            "
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"Action, Adventure, Drama            "
Forrest Gump,1994,8.8,"Drama, Romance            "
The Lord of the Rings: The Two Towers,2002,8.8,"Action, Adventure, Drama            "
"Il buono, il brutto, il cattivo",1966,8.8,"Adventure, Western            "
Jai Bhim,2021,8.8,"Crime, Drama, Mystery            "
777 Charlie,2022,8.8,"Adventure, Comedy, Drama            "
Spider-Man: Across the Spider-Verse,2023,8.7,"Animation, Action, Adventure            "
Interstellar,2014,8.7,"Adventure, Drama, Sci-Fi            "
Goodfellas,1990,8.7,"Biography, Crime, Drama            "
The Matrix,1999,8.7,"Action, Sci-Fi            "
One Flew Over the Cuckoo's Nest,1975,8.7,Drama            
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"Action, Adventure, Fantasy            "
Soorarai Pottru,2020,8.7,"Action, Drama            "
Rocketry: The Nambi Effect,2022,8.7,"Biography, Drama            "
The Silence of the Lambs,1991,8.6,"Crime, Drama, Thriller            "
Se7en,1995,8.6,"Crime, Drama, Mystery            "
The Green Mile,1999,8.6,"Crime, Drama, Fantasy            "
Saving Private Ryan,1998,8.6,"Drama, War            "
Star Wars,1977,8.6,"Action, Adventure, Fantasy            "
Sen to Chihiro no kamikakushi,2001,8.6,"Animation, Adventure, Family            "
Terminator 2: Judgment Day,1991,8.6,"Action, Sci-Fi            "
Cidade de Deus,2002,8.6,"Crime, Drama            "
La vita è bella,1997,8.6,"Comedy, Drama, Romance            "
It's a Wonderful Life,1946,8.6,"Drama, Family, Fantasy            "
Shichinin no samurai,1954,8.6,"Action, Drama            "
Seppuku,1962,8.6,"Action, Drama, Mystery            "
Sita Ramam,2022,8.6,"Action, Drama, Mystery            "
Oppenheimer,I 2023,8.5,"Biography, Drama, History            "
Gladiator,2000,8.5,"Action, Adventure, Drama            "
The Departed,2006,8.5,"Crime, Drama, Thriller            "
Alien,1979,8.5,"Horror, Sci-Fi            "
Gisaengchung,2019,8.5,"Drama, Thriller            "
The Prestige,2006,8.5,"Drama, Mystery, Sci-Fi            "
Psycho,1960,8.5,"Horror, Mystery, Thriller            "
Whiplash,2014,8.5,"Drama, Music            "
Back to the Future,1985,8.5,"Adventure, Comedy, Sci-Fi            "
Django Unchained,2012,8.5,"Drama, Western            "
Léon,1994,8.5,"Action, Crime, Drama            "
The Lion King,1994,8.5,"Animation, Adventure, Drama            "
The Usual Suspects,1995,8.5,"Crime, Drama, Mystery            "
The Intouchables,2011,8.5,"Biography, Comedy, Drama            "
American History X,1998,8.5,"Crime, Drama            "
The Pianist,2002,8.5,"Biography, Drama, Music            "
Casablanca,1942,8.5,"Drama, Romance, War            "
Once Upon a Time in the West,1968,8.5,Western            
Hotaru no haka,1988,8.5,"Animation, Drama, War            "
Rear Window,1954,8.5,"Mystery, Thriller            "
Nuovo Cinema Paradiso,1988,8.5,"Drama, Romance            "
Modern Times,1936,8.5,"Comedy, Drama, Romance            "
City Lights,1931,8.5,"Comedy, Drama, Romance            "
96,II 2018,8.5,"Drama, Romance            "
The Shining,1980,8.4,"Drama, Horror            "
Joker,I 2019,8.4,"Crime, Drama, Thriller            "
Avengers: Endgame,2019,8.4,"Action, Adventure, Drama            "
Inglourious Basterds,2009,8.4,"Adventure, Drama, War            "
The Dark Knight Rises,2012,8.4,"Action, Drama, Thriller            "
Oldeuboi,2003,8.4,"Action, Drama, Mystery            "
Aliens,1986,8.4,"Action, Adventure, Sci-Fi            "
Spider-Man: Into the Spider-Verse,2018,8.4,"Animation, Action, Adventure            "
Coco,I 2017,8.4,"Animation, Adventure, Drama            "
Avengers: Infinity War,2018,8.4,"Action, Adventure, Sci-Fi            "
Memento,2000,8.4,"Mystery, Thriller            "
Apocalypse Now,1979,8.4,"Drama, Mystery, War            "
Raiders of the Lost Ark,1981,8.4,"Action, Adventure            "
Idi i smotri,1985,8.4,"Drama, Thriller, War            "
Amadeus,1984,8.4,"Biography, Drama, Music            "
3 Idiots,2009,8.4,"Comedy, Drama            "
Kimi no na wa.,2016,8.4,"Animation, Drama, Fantasy            "
WALL·E,2008,8.4,"Animation, Adventure, Family            "
The Lives of Others,2006,8.4,"Drama, Mystery, Thriller            "
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,"Comedy, War            "
Capharnaüm,2018,8.4,Drama            
Das Boot,1981,8.4,"Drama, War            "
Sunset Blvd.,1950,8.4,"Drama, Film-Noir            "
Paths of Glory,1957,8.4,"Drama, War            "
Witness for the Prosecution,1957,8.4,"Crime, Drama, Mystery            "
Kaithi,2019,8.4,"Action, Adventure, Crime            "
The Great Dictator,1940,8.4,"Comedy, Drama, War            "
Tengoku to jigoku,1963,8.4,"Crime, Drama, Mystery            "
Sardar Udham,2021,8.4,"Biography, Crime, Drama            "
Asuran,2019,8.4,"Action, Drama            "
Drishyam 2,2021,8.4,"Crime, Drama, Thriller            "
Top Gun: Maverick,2022,8.3,"Action, Drama            "
American Beauty,1999,8.3,Drama            
Heat,1995,8.3,"Action, Crime, Drama            "
Requiem for a Dream,2000,8.3,Drama            
Good Will Hunting,1997,8.3,"Drama, Romance            "
Scarface,1983,8.3,"Crime, Drama            "
Once Upon a Time in America,1984,8.3,"Crime, Drama            "
Eternal Sunshine of the Spotless Mind,2004,8.3,"Drama, Romance, Sci-Fi            "
